trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",20,0,-164.7705808958249,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",30,6,-91.44153092813589,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 0}",1
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",25,0,-67.60544684144584,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",25,0,-176.73076721725084,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",20,0,-31.026383224430592,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",30,0,-136.05945509589537,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",25,0,-51.01028223452001,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,0,-120.32118847730574,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,0,-52.48564135567589,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",20,0,-61.0884961992046,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",30,0,-80.10093397714965,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",20,0,-45.82137503657185,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,1,-14.772252391871215,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",30,0,-100.01004187467315,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",20,0,-48.315886241471794,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",20,0,-53.2130558377082,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",20,0,-12.681517271414226,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,3,-3.724048765089848,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",30,16,24.668294913606942,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",30,16,24.71357862639058,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0, 'a': 0}",35,0,-39.082379416150054,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 2}",0
2,True,"{'e': 0, 'a': 0}",20,8,21.064280883974007,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0, 'a': 0}",25,20,8.722639707126827,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0, 'a': 0}",25,8,27.82025695579818,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",25,6,-20.075712215451006,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",20,2,-93.59268797803703,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 3}",1
7,True,"{'e': 0, 'a': 0}",20,5,-72.95726376509414,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
8,True,"{'e': 0, 'a': 0}",20,10,15.213224860659054,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",20,9,19.27900169533854,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",25,2,-101.88115489277466,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 2}",1
